Tweet_ID,Tweet_Text,created_at,location,Informativeness
3.89654E+17,RT @mariexplorer: Good morning #cebu #sea #paradise #philippines #ocean http://t.co/lMOuXMRIZe,,,Not related
3.89897E+17,Where is Liloan Central Field and how do we get there? What are the landmarks? Thank you. @CebuRetweets #cebu,Mon Oct 14 23:33:59 +0000 2013,"Cebu, Philippines",Not related
3.89908E+17,"Earthquake in Iloilo, Philippines! My head's aching.",Tue Oct 15 00:18:45 +0000 2013,Philippines,Related - but not informative
3.8991E+17,"RT @LastQuake: NEW: Felt #earthquake M7.0 - Bohol, Philippines - October 15, 2013, 00:12 UTC (7 min ago) http://t.co/Q2wT2fxoH0",Tue Oct 15 00:24:29 +0000 2013,Santiago - Chile,Related and informative
3.8991E+17,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http‰Ы_",Tue Oct 15 00:26:35 +0000 2013,19Њ_17'04ЊВN - 99Њ_10'28ЊВW,Related and informative
3.89911E+17,"RT @gmanews: JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via @NewEarthquake @USGS",Tue Oct 15 00:28:42 +0000 2013,"Cagayan de Oro, Philippines",Related and informative
3.89911E+17,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http‰Ы_",Tue Oct 15 00:30:42 +0000 2013,Philippines,Related and informative
3.89911E+17,"RT @gmanews: JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via @NewEarthquake @USGS",Tue Oct 15 00:31:26 +0000 2013,"Las Piн±as, Philippines",Related and informative
3.89912E+17,RT @BreakingNews: 7.2 earthquake recorded in the Philippines' Bohol province - @usgs http://t.co/sVOzYsZR5X,Tue Oct 15 00:33:10 +0000 2013,"Quezon City, Philippines",Related and informative
3.89912E+17,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http‰Ы_",Tue Oct 15 00:33:44 +0000 2013,"Machalн_, Chile",Related and informative
3.89912E+17,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http‰Ы_",,,Related and informative
3.89913E+17,"RT @NWS_PTWC: NO widespread tsunami hazard for 7.2 magnitude earthquake in Mindanao,  Philippines #tsunami #PTWC http://t.co/lwjSP8Su1p",,,Related and informative
3.89913E+17,"Southern Philippines hit by 7.4 magnitude earthquake, no threat of Pacific-wide tsunami.",Tue Oct 15 00:36:34 +0000 2013,London & Singapore studios,Related and informative
3.89914E+17,BendМ_cenos SeМ±or por el terremoto terrible. #PrayforPhilippines #Philippines #Dumaguete #earthquake,Tue Oct 15 00:40:05 +0000 2013,"Dumaguete, Philippines",Related - but not informative
3.89914E+17,RT @LanceUlanoff: 7.2 Earthquake in Philippines just now http://t.co/MeXQZHjdNt via: @dorybenami,Tue Oct 15 00:40:18 +0000 2013,samarinda,Related and informative
3.89914E+17,"RT @ABC7: #EARTHQUAKE Quake with prelim mag of 7.2 struck Philippines, 25 miles east-northeast of Tagbilaran, Bohoi; no tsunami warning yet",Tue Oct 15 00:40:31 +0000 2013,"Austin, TX",Related and informative
3.89914E+17,RT @RT_com: #BREAKING: 7.2 quake hits southern #Philippines; no threat of Pacific-wide tsunami http://t.co/0J6Eg19Gws,Tue Oct 15 00:41:49 +0000 2013,"Newark, New Jersey ",Related and informative
3.89914E+17,It's a good thing the kids are at home today. #earthquake #bacolod #philippines,Tue Oct 15 00:41:51 +0000 2013,Philippines,Related - but not informative
3.89914E+17,"Magnitude 7.4 quake hits Philippines, no tsunami threat: SYDNEY (Reuters) - An earthquake with a preliminary m... http://t.co/UTzExxP76A",Tue Oct 15 00:42:53 +0000 2013,"Canada, Markham ",Related and informative
3.89915E+17,"RT @NWS_PTWC: NO widespread tsunami hazard for 7.2 magnitude earthquake in Mindanao,  Philippines #tsunami #PTWC http://t.co/lwjSP8Su1p",Tue Oct 15 00:47:45 +0000 2013,Westeros,Related and informative
3.89917E+17,"USGS M 7.2, 5km E of Balilihan, Philippines: Tuesday, October 15, 2013 00:12:37 UTCTuesday, Octobe... http://t.co/UxYqnxv1b7 #earthquake",Tue Oct 15 00:54:13 +0000 2013,"Houston, TX",Related and informative
3.89917E+17,"RT @YouScoop: PHOTO: Magnitude 7.2 quake 5KM E of Balilihan, Bohol, Philippines. Please stay safe. http://t.co/S2Dzdyaxm6",,,Related and informative
3.89918E+17,"#Temblor‰Є¬ M 5.4, 6km NNE of Nueva Fuerza, Philippines http://t.co/4hpmJmNcc2 #Earthquake #Sismo",Tue Oct 15 00:56:50 +0000 2013,San Juan PR,Related and informative
3.89918E+17,"RT @YouScoop: PHOTO: Magnitude 7.2 quake 5KM E of Balilihan, Bohol, Philippines. Please stay safe. http://t.co/sKK8NZx49J",Tue Oct 15 00:58:27 +0000 2013,"Bacolod City, Philippines",Related and informative
3.89919E+17,"RT @Tweetbrk: NEW: Significant preliminary 7.2 magnitude earthquake just off Nueva Vida Sur, Philippines - @MicahGrimes",Tue Oct 15 01:01:14 +0000 2013,Los Angeles-CA-USA,Related and informative
